runTimeUTC,runTimeOffset,version,model,x0,xc0,t0,xn,xcn,tn
1446437114.000000,-5.000000,0.1.?,0.1.1,0.736310,0.676645,1446144995.000000,0.200431,-1.260596,1446437075.000000
1446441885.000000,-5.000000,0.1.?,0.1.1,0.200431,-1.260596,1446437075.000000,-0.237229,-1.254949,1446441815.000000
1446451488.000000,-5.000000,0.1.?,0.1.1,-0.237229,-1.254949,1446441815.000000,-1.006257,-0.805318,1446451415.000000
1446474304.000000,-5.000000,0.1.?,0.1.1,-1.006257,-0.805318,1446451415.000000,-0.587290,0.822383,1446474275.000000
