timeUTC,timeOffset,activityIndex,activityCount
1433188746,-5,0.915498637,
1433188776,-5,0.765924181,
1433188806,-5,0.624348488,
1433188836,-5,0.498840176,
1433188866,-5,0.396974861,
1433188896,-5,0.324488144,
1433188926,-5,0.28364562,
1433188956,-5,0.272219354,
1433188986,-5,0.28378052,
1433189016,-5,0.309364387,
1433189046,-5,0.339815073,
1433189076,-5,0.367762443,
1433189106,-5,0.388454472,
1433189136,-5,0.399402814,
1433189166,-5,0.399512562,
1433189196,-5,0.38855175,
1433189226,-5,0.367408024,
1433189256,-5,0.338835508,
1433189286,-5,0.307884237,
1433189316,-5,0.281312992,
1433189346,-5,0.265930279,
1433189376,-5,0.266549448,
1433189406,-5,0.284544514,
1433189436,-5,0.317652855,
1433189466,-5,0.360953113,
1433189496,-5,0.408351901,
1433189526,-5,0.45382301,
1433189556,-5,0.492061682,
1433189586,-5,0.518723955,
1433189616,-5,0.530676622,
1433189646,-5,0.526478657,
1433189676,-5,0.506915194,
1433189706,-5,0.475156359,
1433189736,-5,0.436232503,
1433189766,-5,0.395949493,
1433189796,-5,0.359703738,
1433189826,-5,0.331703913,
1433189856,-5,0.314764253,
1433189886,-5,0.310410324,
1433189916,-5,0.318882937,
1433189946,-5,0.338832938,
1433189976,-5,0.366931867,
1433190006,-5,0.397918545,
1433190036,-5,0.425477734,
1433190066,-5,0.443868053,
1433190096,-5,0.449663505,
1433190126,-5,0.442752776,
1433190156,-5,0.426034523,
1433190186,-5,0.403906177,
1433190216,-5,0.380315725,
1433190246,-5,0.357378341,
1433190276,-5,0.335237945,
1433190306,-5,0.313137367,
1433190336,-5,0.290968732,
1433190366,-5,0.270332789,
1433190396,-5,0.254451884,
1433190426,-5,0.246975011,
1433190456,-5,0.250361239,
1433190486,-5,0.264730478,
1433190516,-5,0.287774997,
1433190546,-5,0.31568497,
1433190576,-5,0.344508329,
1433190606,-5,0.371227731,
1433190636,-5,0.394146346,
1433190666,-5,0.412675214,
1433190696,-5,0.426928758,
1433190726,-5,0.437493796,
1433190756,-5,0.445388935,
1433190786,-5,0.451948401,
1433190816,-5,0.458368774,
1433190846,-5,0.464987975,
1433190876,-5,0.470723047,
1433190906,-5,0.473171045,
1433190936,-5,0.469545395,
1433190966,-5,0.458080433,
1433190996,-5,0.439201978,
1433191026,-5,0.415826449,
1433191056,-5,0.392656307,
1433191086,-5,0.374841079,
1433191116,-5,0.36662914,
1433191146,-5,0.370434889,
1433191176,-5,0.386376696,
1433191206,-5,0.412090051,
1433191236,-5,0.442714693,
1433191266,-5,0.471252848,
1433191296,-5,0.489652202,
1433191326,-5,0.49076119,
1433191356,-5,0.470714873,
1433191386,-5,0.430812881,
1433191416,-5,0.377870551,
1433191446,-5,0.32260388,
1433191476,-5,0.27651617,
1433191506,-5,0.248506747,
1433191536,-5,0.24253469,
1433191566,-5,0.257099779,
1433191596,-5,0.286424374,
1433191626,-5,0.322520664,
1433191656,-5,0.357233858,
1433191686,-5,0.383715776,
1433191716,-5,0.397316635,
1433191746,-5,0.396118315,
1433191776,-5,0.381213539,
1433191806,-5,0.356557224,
1433191836,-5,0.328132406,
1433191866,-5,0.30245843,
1433191896,-5,0.284902485,
1433191926,-5,0.278517491,
1433191956,-5,0.283873116,
1433191986,-5,0.299766274,
1433192016,-5,0.324147752,
1433192046,-5,0.354557719,
1433192076,-5,0.38786782,
1433192106,-5,0.419822218,
1433192136,-5,0.44517742,
1433192166,-5,0.458873482,
1433192196,-5,0.45787041,
1433192226,-5,0.442617957,
1433192256,-5,0.417171129,
1433192286,-5,0.387719094,
1433192316,-5,0.360279655,
1433192346,-5,0.3388181,
1433192376,-5,0.32471994,
1433192406,-5,0.317604097,
1433192436,-5,0.316584439,
1433192466,-5,0.320927524,
1433192496,-5,0.329688957,
1433192526,-5,0.340876485,
1433192556,-5,0.351204295,
1433192586,-5,0.35713092,
1433192616,-5,0.356848113,
1433192646,-5,0.351939844,
1433192676,-5,0.347324151,
1433192706,-5,0.349011425,
1433192736,-5,0.360645157,
1433192766,-5,0.380772868,
1433192796,-5,0.402638414,
1433192826,-5,0.416944357,
1433192856,-5,0.416287335,
1433192886,-5,0.398899935,
1433192916,-5,0.369628454,
1433192946,-5,0.337625389,
1433192976,-5,0.312098048,
1433193006,-5,0.298502379,
1433193036,-5,0.297161144,
1433193066,-5,0.304747222,
1433193096,-5,0.317359396,
1433193126,-5,0.333107303,
1433193156,-5,0.352658386,
1433193186,-5,0.377631419,
1433193216,-5,0.408112706,
1433193246,-5,0.441047494,
1433193276,-5,0.47059664,
1433193306,-5,0.490272387,
1433193336,-5,0.495612619,
1433193366,-5,0.485933743,
1433193396,-5,0.464347933,
1433193426,-5,0.436234592,
1433193456,-5,0.407089422,
1433193486,-5,0.380818386,
1433193516,-5,0.359116812,
1433193546,-5,0.341951194,
1433193576,-5,0.328652923,
1433193606,-5,0.318962665,
1433193636,-5,0.31348555,
1433193666,-5,0.313388018,
1433193696,-5,0.319558317,
1433193726,-5,0.331747174,
1433193756,-5,0.348212951,
1433193786,-5,0.366111799,
1433193816,-5,0.382410816,
1433193846,-5,0.394771331,
1433193876,-5,0.401870047,
1433193906,-5,0.403063488,
1433193936,-5,0.397834896,
1433193966,-5,0.385685495,
1433193996,-5,0.366805273,
1433194026,-5,0.343165184,
1433194056,-5,0.319121171,
1433194086,-5,0.300727719,
1433194116,-5,0.293723723,
1433194146,-5,0.301123063,
1433194176,-5,0.32178094,
1433194206,-5,0.35087374,
1433194236,-5,0.382114486,
1433194266,-5,0.410487674,
1433194296,-5,0.433981447,
1433194326,-5,0.453446571,
1433194356,-5,0.470858288,
1433194386,-5,0.487182254,
1433194416,-5,0.501169662,
1433194446,-5,0.509745892,
1433194476,-5,0.509654976,
1433194506,-5,0.499318898,
1433194536,-5,0.47983136,
1433194566,-5,0.454575433,
1433194596,-5,0.427741538,
1433194626,-5,0.402620901,
1433194656,-5,0.380611311,
1433194686,-5,0.361452941,
1433194716,-5,0.344497264,
1433194746,-5,0.330205715,
1433194776,-5,0.320884002,
1433194806,-5,0.32005912,
1433194836,-5,0.330685418,
1433194866,-5,0.353127252,
1433194896,-5,0.384129091,
1433194926,-5,0.417516894,
1433194956,-5,0.446426864,
1433194986,-5,0.465972748,
1433195016,-5,0.474986265,
1433195046,-5,0.476000713,
1433195076,-5,0.47364499,
1433195106,-5,0.472443542,
1433195136,-5,0.475191059,
1433195166,-5,0.482544937,
1433195196,-5,0.493636666,
1433195226,-5,0.506970714,
1433195256,-5,0.520919134,
1433195286,-5,0.533648255,
1433195316,-5,0.542878832,
1433195346,-5,0.546053212,
1433195376,-5,0.541157632,
1433195406,-5,0.527899981,
1433195436,-5,0.508547964,
1433195466,-5,0.487794559,
1433195496,-5,0.471481904,
1433195526,-5,0.46459388,
1433195556,-5,0.469317656,
1433195586,-5,0.483998342,
1433195616,-5,0.503466045,
1433195646,-5,0.520697031,
1433195676,-5,0.529253864,
1433195706,-5,0.525621794,
1433195736,-5,0.51052974,
1433195766,-5,0.488670742,
1433195796,-5,0.466830799,
1433195826,-5,0.45110397,
1433195856,-5,0.444328155,
1433195886,-5,0.444855227,
1433195916,-5,0.447224587,
1433195946,-5,0.444450601,
1433195976,-5,0.430892348,
1433196006,-5,0.404433887,
1433196036,-5,0.367095568,
1433196066,-5,0.324015641,
1433196096,-5,0.281504516,
1433196126,-5,0.245197685,
1433196156,-5,0.219060886,
1433196186,-5,0.205365804,
1433196216,-5,0.205157071,
1433196246,-5,0.218557579,
1433196276,-5,0.244565883,
1433196306,-5,0.280562412,
1433196336,-5,0.322138204,
1433196366,-5,0.363776504,
1433196396,-5,0.400376326,
1433196426,-5,0.428936808,
1433196456,-5,0.449404747,
1433196486,-5,0.464033526,
1433196516,-5,0.475449899,
1433196546,-5,0.484507772,
1433196576,-5,0.489308987,
1433196606,-5,0.486203148,
1433196636,-5,0.47240934,
1433196666,-5,0.448811253,
1433196696,-5,0.421162657,
1433196726,-5,0.398678178,
1433196756,-5,0.390389631,
1433196786,-5,0.400936057,
1433196816,-5,0.427868359,
1433196846,-5,0.46187848,
1433196876,-5,0.489971686,
1433196906,-5,0.500242833,
1433196936,-5,0.486263616,
1433196966,-5,0.449349856,
1433196996,-5,0.397948761,
1433197026,-5,0.344560532,
1433197056,-5,0.301488308,
1433197086,-5,0.277040969,
1433197116,-5,0.273513269,
1433197146,-5,0.287508603,
1433197176,-5,0.312220788,
1433197206,-5,0.340528834,
1433197236,-5,0.367505515,
1433197266,-5,0.391323988,
1433197296,-5,0.412426669,
1433197326,-5,0.431719887,
1433197356,-5,0.449001123,
1433197386,-5,0.462570287,
1433197416,-5,0.470151342,
1433197446,-5,0.470420312,
